,Name,Household Income,Asian Amer.,Black Amer.,Hispanic Amer.,White Amer.,Other,state,Zipcode
2127,ZCTA5 07624,130815.0,3134.0,336.0,643.0,5153.0,20.0,34,07624
2128,ZCTA5 07626,136250.0,2417.0,35.0,671.0,6107.0,78.0,34,07626
2129,ZCTA5 07627,149271.0,1638.0,14.0,397.0,3206.0,31.0,34,07627
2130,ZCTA5 07628,94617.0,2971.0,912.0,3224.0,12756.0,862.0,34,07628
2131,ZCTA5 07630,111536.0,685.0,83.0,1007.0,6619.0,100.0,34,07630
2132,ZCTA5 07631,80489.0,3515.0,8771.0,6989.0,12956.0,1985.0,34,07631
2133,ZCTA5 07632,134904.0,2221.0,99.0,267.0,3080.0,9.0,34,07632
2134,ZCTA5 07640,127188.0,902.0,32.0,355.0,3769.0,20.0,34,07640
2135,ZCTA5 07641,170417.0,560.0,26.0,101.0,2809.0,0.0,34,07641
2136,ZCTA5 07642,124844.0,887.0,172.0,936.0,9121.0,282.0,34,07642
2137,ZCTA5 07643,61341.0,2868.0,300.0,2991.0,6911.0,584.0,34,07643
2138,ZCTA5 07644,57188.0,2858.0,1880.0,8942.0,17848.0,1374.0,34,07644
2139,ZCTA5 07645,120060.0,1295.0,260.0,997.0,6467.0,317.0,34,07645
2140,ZCTA5 07646,84025.0,3024.0,567.0,2941.0,11908.0,845.0,34,07646
2141,ZCTA5 07647,93925.0,1286.0,133.0,534.0,3890.0,97.0,34,07647
2142,ZCTA5 07648,125417.0,1656.0,50.0,491.0,3962.0,99.0,34,07648
2143,ZCTA5 07649,137583.0,1108.0,201.0,351.0,6619.0,72.0,34,07649
2144,ZCTA5 07650,64538.0,11756.0,413.0,4365.0,6157.0,1887.0,34,07650
2145,ZCTA5 07652,105114.0,7615.0,852.0,2543.0,17666.0,288.0,34,07652
2146,ZCTA5 07656,106875.0,182.0,171.0,1558.0,8118.0,198.0,34,07656
2147,ZCTA5 07657,66690.0,3402.0,127.0,3257.0,7015.0,427.0,34,07657
2148,ZCTA5 07660,72191.0,1793.0,767.0,5576.0,9109.0,1130.0,34,07660
2149,ZCTA5 07661,123590.0,2617.0,118.0,1312.0,8289.0,424.0,34,07661
2150,ZCTA5 07662,78333.0,680.0,77.0,1326.0,4628.0,231.0,34,07662
2151,ZCTA5 07663,94177.0,1256.0,184.0,2073.0,12347.0,147.0,34,07663
2152,ZCTA5 07666,106411.0,3480.0,11321.0,7838.0,22276.0,2893.0,34,07666
2153,ZCTA5 07670,153906.0,3865.0,342.0,1632.0,9978.0,358.0,34,07670
2154,ZCTA5 07675,119748.0,3113.0,834.0,2586.0,22237.0,543.0,34,07675
2155,ZCTA5 07676,128203.0,597.0,23.0,991.0,8604.0,95.0,34,07676
2156,ZCTA5 07677,161250.0,382.0,156.0,92.0,5271.0,0.0,34,07677
2157,ZCTA5 07701,84520.0,518.0,1766.0,4937.0,18487.0,2675.0,34,07701
2158,ZCTA5 07702,122321.0,64.0,24.0,72.0,3927.0,0.0,34,07702
2159,ZCTA5 07703,-666666666.0,0.0,12.0,12.0,42.0,0.0,34,07703
2160,ZCTA5 07704,158264.0,68.0,189.0,162.0,5716.0,0.0,34,07704
2161,ZCTA5 07711,137625.0,9.0,2.0,48.0,1587.0,7.0,34,07711
2162,ZCTA5 07712,60869.0,1927.0,9505.0,7578.0,23716.0,2316.0,34,07712
2163,ZCTA5 07716,91012.0,92.0,311.0,412.0,8116.0,59.0,34,07716
2164,ZCTA5 07717,78323.0,4.0,9.0,84.0,1760.0,25.0,34,07717
2165,ZCTA5 07718,102542.0,370.0,32.0,578.0,6768.0,289.0,34,07718
2166,ZCTA5 07719,92414.0,216.0,226.0,1569.0,20248.0,254.0,34,07719
2167,ZCTA5 07720,61209.0,75.0,287.0,479.0,3635.0,34.0,34,07720
2168,ZCTA5 07721,68350.0,280.0,913.0,375.0,1626.0,94.0,34,07721
2169,ZCTA5 07722,166706.0,231.0,174.0,447.0,9579.0,14.0,34,07722
2170,ZCTA5 07723,77778.0,2.0,1.0,32.0,739.0,7.0,34,07723
2171,ZCTA5 07724,79868.0,1345.0,2581.0,2329.0,16159.0,531.0,34,07724
2172,ZCTA5 07726,106678.0,3726.0,712.0,2771.0,38775.0,448.0,34,07726
2173,ZCTA5 07727,77128.0,328.0,820.0,699.0,6536.0,3.0,34,07727
2174,ZCTA5 07728,86037.0,3389.0,3901.0,9759.0,44643.0,2334.0,34,07728
2175,ZCTA5 07730,98194.0,863.0,330.0,1420.0,15972.0,129.0,34,07730
2176,ZCTA5 07731,102961.0,1881.0,1587.0,3671.0,33200.0,708.0,34,07731
2177,ZCTA5 07732,60817.0,16.0,52.0,331.0,4673.0,65.0,34,07732
2178,ZCTA5 07733,152294.0,3196.0,178.0,905.0,12710.0,277.0,34,07733
2179,ZCTA5 07734,54092.0,338.0,861.0,1675.0,10425.0,571.0,34,07734
2180,ZCTA5 07735,66782.0,631.0,1550.0,2715.0,15320.0,991.0,34,07735
2181,ZCTA5 07737,91042.0,108.0,0.0,209.0,3676.0,43.0,34,07737
2182,ZCTA5 07738,132222.0,218.0,139.0,289.0,5785.0,42.0,34,07738
2183,ZCTA5 07739,144250.0,46.0,22.0,275.0,5838.0,0.0,34,07739
2184,ZCTA5 07740,55038.0,990.0,4607.0,9679.0,20279.0,4307.0,34,07740
2185,ZCTA5 07746,144588.0,2942.0,533.0,1023.0,14555.0,279.0,34,07746
2186,ZCTA5 07747,99825.0,2828.0,1496.0,3116.0,25037.0,835.0,34,07747
2187,ZCTA5 07748,113676.0,1080.0,141.0,1685.0,25406.0,156.0,34,07748
2188,ZCTA5 07750,110380.0,22.0,0.0,99.0,3116.0,10.0,34,07750
2189,ZCTA5 07751,145118.0,4591.0,281.0,806.0,14547.0,53.0,34,07751
2190,ZCTA5 07753,64774.0,1446.0,11004.0,2950.0,22597.0,1377.0,34,07753
2191,ZCTA5 07755,90192.0,162.0,96.0,422.0,5220.0,61.0,34,07755
2192,ZCTA5 07756,60000.0,45.0,71.0,175.0,2802.0,16.0,34,07756
2193,ZCTA5 07757,107571.0,147.0,0.0,469.0,5497.0,23.0,34,07757
2194,ZCTA5 07758,92879.0,144.0,67.0,407.0,3918.0,26.0,34,07758
