,Name,Household Income,Asian American,Black American,Hispanic American,White American,Other,state,Zip Code
15182,ZCTA5 07860,78801.0,323.0,881.0,2274.0,23712.0,693.0,34,07860
15183,ZCTA5 07863,84960.0,23.0,78.0,296.0,3932.0,9.0,34,07863
15184,ZCTA5 07865,103750.0,14.0,132.0,67.0,1741.0,7.0,34,07865
15185,ZCTA5 07866,98538.0,1987.0,883.0,2403.0,17940.0,338.0,34,07866
15186,ZCTA5 07869,120924.0,2650.0,877.0,2395.0,21055.0,437.0,34,07869
15187,ZCTA5 07870,-666666666.0,0.0,0.0,0.0,8.0,0.0,34,07870
15188,ZCTA5 07871,129830.0,574.0,434.0,1163.0,19014.0,108.0,34,07871
15189,ZCTA5 07874,90968.0,309.0,117.0,610.0,7662.0,58.0,34,07874
15190,ZCTA5 07876,118818.0,478.0,343.0,682.0,9389.0,85.0,34,07876
15191,ZCTA5 07878,103477.0,23.0,55.0,12.0,776.0,0.0,34,07878
15192,ZCTA5 07880,129000.0,0.0,0.0,184.0,280.0,0.0,34,07880
15193,ZCTA5 07881,-666666666.0,0.0,0.0,0.0,6.0,0.0,34,07881
15194,ZCTA5 07882,84430.0,271.0,560.0,1053.0,13430.0,216.0,34,07882
15195,ZCTA5 07885,74509.0,653.0,126.0,3464.0,6959.0,2131.0,34,07885
15196,ZCTA5 07901,132107.0,2205.0,824.0,3320.0,18613.0,1187.0,34,07901
15197,ZCTA5 07920,132417.0,4764.0,453.0,1226.0,20975.0,259.0,34,07920
15198,ZCTA5 07921,101036.0,658.0,189.0,660.0,6673.0,140.0,34,07921
15199,ZCTA5 07922,144633.0,1358.0,182.0,952.0,10667.0,36.0,34,07922
15200,ZCTA5 07924,135677.0,238.0,23.0,1145.0,6590.0,797.0,34,07924
15201,ZCTA5 07926,-666666666.0,0.0,0.0,0.0,73.0,0.0,34,07926
15202,ZCTA5 07927,97321.0,512.0,98.0,179.0,3083.0,9.0,34,07927
15203,ZCTA5 07928,154727.0,1732.0,237.0,1085.0,17068.0,73.0,34,07928
15204,ZCTA5 07930,136150.0,372.0,55.0,625.0,7445.0,158.0,34,07930
15205,ZCTA5 07931,197457.0,54.0,118.0,217.0,3328.0,58.0,34,07931
15206,ZCTA5 07932,116472.0,1112.0,366.0,850.0,8563.0,0.0,34,07932
15207,ZCTA5 07933,111464.0,139.0,73.0,98.0,3076.0,19.0,34,07933
